source_url,question,answer
https://ulis.vnu.edu.vn/kqtsdh24/,What was the admission score for Russian Language at ULIS in 2024?,34.24 points
https://ulis.vnu.edu.vn/kqtsdh24/,What was the admission score for French Language at ULIS in 2024?,34.53 points
https://ulis.vnu.edu.vn/kqtsdh24/,What was the admission score for Chinese Language at ULIS in 2024?,37.00 points
https://ulis.vnu.edu.vn/kqtsdh24/,What was the admission score for German Language at ULIS in 2024?,35.82 points
https://ulis.vnu.edu.vn/kqtsdh24/,What was the admission score for Japanese Language at ULIS in 2024?,35.40 points
https://ulis.vnu.edu.vn/kqtsdh24/,What was the admission score for Korean Language at ULIS in 2024?,36.38 points
https://ulis.vnu.edu.vn/kqtsdh24/,What was the admission score for Arabic Language at ULIS in 2024?,33.42 points
https://ulis.vnu.edu.vn/tham-khao-diem-chuan-tuyen-sinh-dai-hoc-vao-truong-dai-hoc-ngoai-ngu-qua-cac-nam/,What was the admission score for English Language at ULIS in 2023?,35.55 points
https://ulis.vnu.edu.vn/tham-khao-diem-chuan-tuyen-sinh-dai-hoc-vao-truong-dai-hoc-ngoai-ngu-qua-cac-nam/,What was the admission score for Russian Language at ULIS in 2023?,33.30 points
https://ulis.vnu.edu.vn/tham-khao-diem-chuan-tuyen-sinh-dai-hoc-vao-truong-dai-hoc-ngoai-ngu-qua-cac-nam/,What was the admission score for French Language at ULIS in 2023?,34.12 points
https://ulis.vnu.edu.vn/tham-khao-diem-chuan-tuyen-sinh-dai-hoc-vao-truong-dai-hoc-ngoai-ngu-qua-cac-nam/,What was the admission score for Chinese Language at ULIS in 2023?,35.55 points
https://ulis.vnu.edu.vn/tham-khao-diem-chuan-tuyen-sinh-dai-hoc-vao-truong-dai-hoc-ngoai-ngu-qua-cac-nam/,What was the admission score for German Language at ULIS in 2023?,34.35 points
https://ulis.vnu.edu.vn/tham-khao-diem-chuan-tuyen-sinh-dai-hoc-vao-truong-dai-hoc-ngoai-ngu-qua-cac-nam/,What was the admission score for Japanese Language at ULIS in 2023?,34.65 points
https://ulis.vnu.edu.vn/tham-khao-diem-chuan-tuyen-sinh-dai-hoc-vao-truong-dai-hoc-ngoai-ngu-qua-cac-nam/,What was the admission score for Korean Language at ULIS in 2023?,35.40 points
https://ulis.vnu.edu.vn/tham-khao-diem-chuan-tuyen-sinh-dai-hoc-vao-truong-dai-hoc-ngoai-ngu-qua-cac-nam/,What was the admission score for Arabic Language at ULIS in 2023?,33.04 points
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-khoa-hoc-xa-hoi-va-nhan-van-dai-hoc-quoc-gia-ha-noi,What was the 2024 C00 admission score for Journalism at USSH?,29.03 points
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-khoa-hoc-xa-hoi-va-nhan-van-dai-hoc-quoc-gia-ha-noi,What was the 2024 D01 admission score for Journalism at USSH?,26.07 points
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-khoa-hoc-xa-hoi-va-nhan-van-dai-hoc-quoc-gia-ha-noi,What was the 2024 C00 admission score for Public Relations at USSH?,29.10 points
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-khoa-hoc-xa-hoi-va-nhan-van-dai-hoc-quoc-gia-ha-noi,What was the 2024 D01 admission score for Public Relations at USSH?,26.45 points
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-khoa-hoc-xa-hoi-va-nhan-van-dai-hoc-quoc-gia-ha-noi,What was the 2024 C00 admission score for Psychology at USSH?,28.60 points
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-khoa-hoc-xa-hoi-va-nhan-van-dai-hoc-quoc-gia-ha-noi,What was the 2024 D01 admission score for Psychology at USSH?,26.18 points
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-khoa-hoc-xa-hoi-va-nhan-van-dai-hoc-quoc-gia-ha-noi,What was the 2024 C00 admission score for Korean Studies at USSH?,29.05 points
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-khoa-hoc-xa-hoi-va-nhan-van-dai-hoc-quoc-gia-ha-noi,What was the 2024 D01 admission score for Korean Studies at USSH?,26.30 points
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-khoa-hoc-xa-hoi-va-nhan-van-dai-hoc-quoc-gia-ha-noi,What was the 2024 C00 admission score for International Studies at USSH?,28.55 points
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-khoa-hoc-xa-hoi-va-nhan-van-dai-hoc-quoc-gia-ha-noi,What was the 2024 D01 admission score for International Studies at USSH?,25.33 points
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-khoa-hoc-xa-hoi-va-nhan-van-dai-hoc-quoc-gia-ha-noi,What was the 2024 C00 admission score for Tourism and Travel Service Management at USSH?,28.58 points
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-khoa-hoc-xa-hoi-va-nhan-van-dai-hoc-quoc-gia-ha-noi,What was the 2024 D01 admission score for Tourism and Travel Service Management at USSH?,25.99 points
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-khoa-hoc-xa-hoi-va-nhan-van-dai-hoc-quoc-gia-ha-noi,What was the 2024 C00 admission score for Sociology at USSH?,28.25 points
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-khoa-hoc-xa-hoi-va-nhan-van-dai-hoc-quoc-gia-ha-noi,What was the 2024 D01 admission score for Sociology at USSH?,25.65 points
https://xaydungchinhsach.chinhphu.vn/diem-chuan-truong-dai-hoc-khoa-hoc-xa-hoi-va-nhan-van-dhqg-hn-119230822161911427.htm,What was the 2023 C00 admission score for Journalism at USSH?,28.50 points
https://xaydungchinhsach.chinhphu.vn/diem-chuan-truong-dai-hoc-khoa-hoc-xa-hoi-va-nhan-van-dhqg-hn-119230822161911427.htm,What was the 2023 D01 admission score for Journalism at USSH?,26.00 points
https://xaydungchinhsach.chinhphu.vn/diem-chuan-truong-dai-hoc-khoa-hoc-xa-hoi-va-nhan-van-dhqg-hn-119230822161911427.htm,What was the 2023 C00 admission score for Public Relations at USSH?,28.78 points
https://xaydungchinhsach.chinhphu.vn/diem-chuan-truong-dai-hoc-khoa-hoc-xa-hoi-va-nhan-van-dhqg-hn-119230822161911427.htm,What was the 2023 D01 admission score for Public Relations at USSH?,26.75 points
https://xaydungchinhsach.chinhphu.vn/diem-chuan-truong-dai-hoc-khoa-hoc-xa-hoi-va-nhan-van-dhqg-hn-119230822161911427.htm,What was the 2023 C00 admission score for Psychology at USSH?,28.00 points
https://xaydungchinhsach.chinhphu.vn/diem-chuan-truong-dai-hoc-khoa-hoc-xa-hoi-va-nhan-van-dhqg-hn-119230822161911427.htm,What was the 2023 D01 admission score for Psychology at USSH?,27.00 points
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-khoa-hoc-xa-hoi-va-nhan-van-dhqghn-QHX.html,What was the 2025 C00 admission score for Journalism at USSH?,28.2 points
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-khoa-hoc-xa-hoi-va-nhan-van-dhqghn-QHX.html,What was the 2025 C00 admission score for Public Relations at USSH?,28.95 points
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-khoa-hoc-xa-hoi-va-nhan-van-dhqghn-QHX.html,What was the 2025 C00 admission score for Psychology at USSH?,29.0 points
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-khoa-hoc-xa-hoi-va-nhan-van-dhqghn-QHX.html,What was the 2025 C00 admission score for Korean Studies at USSH?,28.78 points
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-khoa-hoc-xa-hoi-va-nhan-van-dhqghn-QHX.html,What was the 2025 C00 admission score for International Studies at USSH?,28.05 points
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-khoa-hoc-xa-hoi-va-nhan-van-dhqghn-QHX.html,What was the 2025 C00 admission score for Tourism and Travel Service Management at USSH?,28.0 points
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-khoa-hoc-xa-hoi-va-nhan-van-dhqghn-QHX.html,What was the 2025 C00 admission score for Sociology at USSH?,27.15 points
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-khoa-hoc-xa-hoi-va-nhan-van-dhqghn-QHX.html,What was the 2025 C00 admission score for Oriental Studies at USSH?,28.58 points
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-khoa-hoc-xa-hoi-va-nhan-van-dhqghn-QHX.html,What was the 2025 C00 admission score for Vietnamese Studies at USSH?,27.3 points
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-khoa-hoc-xa-hoi-va-nhan-van-dhqghn-QHX.html,What was the 2025 C00 admission score for History at USSH?,27.5 points
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-khoa-hoc-xa-hoi-va-nhan-van-dhqghn-QHX.html,What was the 2025 C00 admission score for Literature at USSH?,28.75 points
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-khoa-hoc-xa-hoi-va-nhan-van-dhqghn-QHX.html,What was the 2025 C00 admission score for Philosophy at USSH?,26.5 points
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-khoa-hoc-xa-hoi-va-nhan-van-dhqghn-QHX.html,What was the 2025 C00 admission score for Anthropology at USSH?,26.85 points
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-khoa-hoc-xa-hoi-va-nhan-van-dhqghn-QHX.html,What was the 2025 C00 admission score for Information Management at USSH?,27.65 points
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-khoa-hoc-xa-hoi-va-nhan-van-dhqghn-QHX.html,What was the 2025 C00 admission score for Social Work at USSH?,27.0 points
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-khoa-hoc-xa-hoi-va-nhan-van-dhqghn-QHX.html,What was the 2025 C00 admission score for Archival Studies at USSH?,26.4 points
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-khoa-hoc-xa-hoi-va-nhan-van-dhqghn-QHX.html,Which USSH major had the highest 2025 C00 admission score?,Psychology had the highest 2025 C00 admission score with 29.0 points.
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-khoa-hoc-xa-hoi-va-nhan-van-dhqghn-QHX.html,Which USSH major had a 2025 C00 admission score of 28.95 points?,Public Relations had a 2025 C00 admission score of 28.95 points.
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-khoa-hoc-xa-hoi-va-nhan-van-dhqghn-QHX.html,Did Psychology or Journalism have a higher 2025 C00 admission score at USSH?,Psychology had a higher score with 29.0 points compared to Journalism with 28.2 points.
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-khoa-hoc-xa-hoi-va-nhan-van-dhqghn-QHX.html,What was the difference between the 2025 C00 admission scores for Public Relations and Journalism at USSH?,The difference was 0.75 points.
